text,label,,,,,
特に感情はない。,neutral,,,,,
,,,,,,
まあ普通かな。,neutral,,,,,
,,,,,,
まあいつも通り,neutral,,,,,
,,,,,,
特に感情はないよ,neutral,,,,,
,,,,,,
Nothing special today,neutral,,,,,
,,,,,,
Neutral mood,neutral,,,,,
,,,,,,
まあ普通やな,neutral,,,,,
,,,,,,
今日は本当に楽しい！,joy,,,,,
,,,,,,
最高の一日になりそうだ。,joy,,,,,
,,,,,,
テンション上がるわ！,joy,,,,,
,,,,,,
幸せオーラ全開,joy,,,,,
,,,,,,
めっちゃ楽しい時間だった,joy,,,,,
,,,,,,
最高に気分いい,joy,,,,,
,,,,,,
笑顔が止まらない,joy,,,,,
,,,,,,
テンアゲすぎて草,joy,,,,,
,,,,,,
これは真剣に考えるべきだ。,serious,,,,,
,,,,,,
冗談抜きで対処が必要。,serious,,,,,
,,,,,,
冷静に判断しよう,serious,,,,,
,,,,,,
冗談抜きで大事,serious,,,,,
,,,,,,
重要な局面だ,serious,,,,,
,,,,,,
We must be serious,serious,,,,,
,,,,,,
冷静に考えようや,serious,,,,,
,,,,,,
なんだか落ち着かない。,discomfort,,,,,
,,,,,,
妙に気持ちがザワつく。,discomfort,,,,,
,,,,,,
なんか落ち着かないな,discomfort,,,,,
,,,,,,
不安な気持ちになる,discomfort,,,,,
,,,,,,
居心地が悪い空気,discomfort,,,,,
,,,,,,
This feels weird,discomfort,,,,,
,,,,,,
ソワソワしてる,discomfort,,,,,
,,,,,,
空気重すぎて居心地悪い,discomfort,,,,,
,,,,,,
これは本当に嫌だ。,disgust,,,,,
,,,,,,
見るだけで気分が悪い。,disgust,,,,,
,,,,,,
気持ち悪すぎる,disgust,,,,,
,,,,,,
吐きそうになる,disgust,,,,,
,,,,,,
嫌悪感がすごい,disgust,,,,,
,,,,,,
Gross feeling,disgust,,,,,
,,,,,,
最悪に不快,disgust,,,,,
,,,,,,
キモすぎて吐きそう🤮,disgust,,,,,
,,,,,,
悲しくて涙が出る。,sadness,,,,,
,,,,,,
胸が締め付けられるように苦しい。,sadness,,,,,
,,,,,,
涙が出そう,sadness,,,,,
,,,,,,
気持ちが沈んでる,sadness,,,,,
,,,,,,
今日はつらい日だ,sadness,,,,,
,,,,,,
心が痛い,sadness,,,,,
,,,,,,
落ち込んで動けない,sadness,,,,,
,,,,,,
ガチ萎え…無理,sadness,,,,,
,,,,,,
どうしたらいいのか分からない…,confused,,,,,
,,,,,,
頭が整理できていない。,confused,,,,,
,,,,,,
意味不明すぎる,confused,,,,,
,,,,,,
頭が混乱してる,confused,,,,,
,,,,,,
理解できない状況,confused,,,,,
,,,,,,
"Huh, what’s going on",confused,,,,,
,,,,,,
わからなすぎて困る,confused,,,,,
,,,,,,
意味わからんて,confused,,,,,
